		
'17452280'	'758361947964379136'	ICYMI: Take 20% off #Contiki merch 'til July 28 using: JULYSALE\r\n
'1246546177'	'758721076960505859'	 @MikeOHearn feature in@TheBarbellBox and best snack in this month's shipment @StrongSnax #BuildOnStrenght\r\n
'706075482'	'379359919868497920'	'My boy got a jeep! @Jojoslapme \r\n'
'3065900255'	'757906542305898496'	The main event's in Philly but Salem NH is excited for the convention! #nhpolitics #nhtogether #ImWithHer\r\n
'87899852'	'762419354717655040'	'#PokemonRevenge video a hit for #Basel tourism. #PokemonGo  #entertainment\r\n'
'16620225'	'529749194454867970'	'@KISS985BUFFALO @judkiss985 right now on elmwood!\r\n'
'593386722'	'753084230557638656'	@mandatraffic Hope you'd have better traffic scheme soonest.Traffic now extends beyond Kalentong/Shaw--Shaw/Sheridan\r\n
'1621247604'	'760930671800020992'	'Vamos a dar un paseo de vaqueros por Sevilla con los sosiossss\r\n'
'278219544'	'736276085223129088'	'#Tinyhouse built by @TaskRabbit taskers on its way to new owner! +$25k proceeds will support our work! #atinytask\r\n'
'79656941'	'756141306896867328'	#TBT was unpacking boxes in my garage, found the license plate that was on the front of my first car. ('87 Prelude)\r\n
'722249017179119616'	'756512543846326272'	@NatalieFFOX5 talks to parents of 5 yr old girl who was mauled by friend's pitbull. Details later on @FOX5Atlanta\r\n
'4454330593'	'747737418770440192'	'While on the road, follow the rules and drive safely  #AAPRoadSafetyAmbassador @jascurtissmith\r\n'
'300361722'	'759481048384344064'	'@PRPDiversity and #PRP 11 Division officers at the Fiesta ng Kalayaan in #Mississauga #Celebrating the #Philippines\r\n'
'48050393'	'759608795362365440'	'The coolest cat.\r\n'
'108247668'	'759732319619907584'	'#Kimi7 following #GermanGP #redseason\r\n'
'191020737'	'757297859372912640'	'500 Likes on my last Instagram post and I will drop my new mix NOW on @Mixcloud \r\n'
'14140913'	'760466700026249216'	'Bill Marriott: Great service never goes out of style\r\n'
'125549250'	'543065932093206528'	How to Fall in Love with Your City. A great read no matter where you're from. #ROC\r\n
'105892589'	'765574320215261184'	'Awesome! #Dacula Middle School dads greet students with smiles, high fives & cheers. WATCH:\r\n'
'9164672'	'765585483703328770'	"'#Savannah Fire says ""at least one"" dead after explosion at gas station on DeRenne.Check @SavannahNow for updates\r\n'"
'151719402'	'725734236293095429'	Days like today in the stands, I'm glad I have my @HydroFlask to keep my water cold throughout the game.\r\n
'21577629'	'748298788557586432'	The @SharkWeek car put on a great show on Sunday. We're tuning in for more action tonight on @Discovery. Are you?\r\n
'1604993059'	'726022487977414656'	#concours ????????Suivez-nous et RT pour gagner l'Europea Mobile chez vous!!#foodtruck #EuropeaMobile Tirage le 1er mai??\r\n
'9763482'	'762254970645250048'	'Mayor accused of strip poker with minors claims innocence:\r\n'
'743282559082176516'	'750017229174046720'	'Team @NHDems is out in full force supporting @HillaryClinton @Maggie_Hassan @TeamSheaPorter at 4th of July parade!!\r\n'
'1244616516'	'757423956009689088'	'Last tweet. No Pikachu  #PokemonPubCrawl\r\n'
'2721171940'	'719242115067326468'	'#HDP delegates touring the national mall. @NDIgov @ndi #HDPethics\r\n'
'182500191'	'763377857380904960'	'My first time back to NC since HB2, and delighted to find my mom bought her first bumper sticker ever. ??\r\n'
'270403166'	'756893208005705728'	'79 PCT NCO Sgt. Charles Miele purchased a new scooter for a 14 year old boy that had is original stolen at gun point\r\n'
'56641453'	'763005813518692353'	'The soundbites in this Justin Bobby profile are really priceless:\r\n'
'79656941'	'762290229541761024'	'Erik Jones to drive the No. 77 for FRR in 2017. #NASCAR\r\n'
'16626603'	'735145917444198400'	We polled #Harvard's senior class. Read about where they're going #CrimsonSeniorSurvey\r\n
'48510446'	'764269212978282496'	'In Milwaukee visiting a best friend. The bicycle security guards take their jobs very seriously here.\r\n'
'311622622'	'701497119623028742'	'Gang gang\r\n'
'15825476'	'760694727142412290'	'Oh man, my neighborhood. There are like 6 cops trying to figure out how to change it. This is too hilarious.\r\n'
'2763989472'	'757999045717753860'	'RT @TheAtlantic: How to change your personality\r\n'
'117551107'	'752005774432280576'	'Amanda Nunes is also the first openly gay champion in UFC history.\r\n'
'625007576'	'759523115059654656'	'For those of you asking to see the whole outfit ... I posted on IG but your still asking  so here you go \r\n'
'49986034'	'757714252459278337'	'new town same signs, continued\r\n'
'389858675'	'745642611357138944'	'We stand united against payday lending. We call out against loan sharking & impoverishing scams. #StopTheDebtTrap\r\n'
'722856909749899264'	'730427572711002112'	'Met the cutest little reporter today.\r\n'
'147157800'	'509539678114951168'	'@IloveTaguig1 Please build a flyover from Pedro Cayetano(Levi Mariano) to MckinleyHill Emperador/Enderun area!\r\n'
'1275764058'	'762417858735403008'	'Thanks for a great weekend guys! @kerrymayo3 @JasonBurrill @georgina_leighc @JacksonMBlyton\r\n'
'93491765'	'723863370735050752'	'Ests con madre internet!  #Lady100pesos\r\n'
'3152059017'	'764191282499510273'	'Road trip \r\n'
'55731241'	'757434822662889473'	'Eastbound Lane ng Commonwealth, nahaharangan na ng mga militante #DU30UnangSONA\r\n'
'135562812'	'760181409512316929'	'La Justicia ya tiene que citar a Daniel Scioli. Tiene que aclarar lo de la extraccion de dinero, parte de so, destinado a la campa?a.\r\n'
'16367825'	'748249821811720193'	'We got our brews back!\r\n'
'6039302'	'761032416244793346'	'.@hochman and @ben_fred: Riding the Randal Grichuk Expressway\r\n'
'722249017179119616'	'738750542030114816'	'Mervin Woodard arrested for dousing his former girlfriend with gasoline and setting her on fire. @FOX5Atlanta\r\n'
'77764733'	'762292286491389952'	'Congrats to the Kitchen Kup winners - great time yesterday visiting the tournament in #Charlestown.\r\n'
'389649116'	'738010565696622593'	'This weeks #evolution is my favorite. Wild. Stand by. #AmericanGrit\r\n'
'174300779'	'369667961994244096'	'Leave your shades at home, bring yer umbrellas! #downpour #oplaniwasbasa #MaringPH\r\n'
'22418925'	'587745899457175552'	"'WOW! ""@capitalweather: Incredible video: traveler comes face-to-face with EF-4 tornado\r\n'"
'203965293'	'635437516317962240'	'Well done to @OldhamRoytonHAC #RochdaleRun\r\n'
'91937997'	'605992496481468416'	'No more truck lane on C5?\r\n'
'27354209'	'558075087094820864'	'Youth baseball players do yourselves a favor, hit off the tee...ALOT! There is no end to the benefits.\r\n'
'1556525214'	'753625262349221888'	'@JadeKonkel @Kimi48Renicks @Empowermentpant @homelesswrldcup - pic this time \r\n'
'20739133'	'761537386723565569'	'The #Rio #Olympics are a bad idea, but not so much because of #Zika @Forbes . #crime #greed\r\n'
'385895615'	'764133106857156608'	'Travelling to @SummerInTheCity at the @ExCeLLondon this weekend? Arrive in style with a trip on the cable car for 2\r\n'
'245424983'	'761978567446102016'	'Inwood today...\r\n'
'617458777'	'764009219343257600'	'Joe is so small compared to Josh woah\r\n'
'18301358'	'661571411719360513'	'Hate it when I have to stop for the traffic outside of family dollar...\r\n'
'34176543'	'755415513392525312'	The new @airfrance 777 La Premiere cabin is swoon-worthy  Can't wait to close my curtains!\r\n
'1665580856'	'761679082530701312'	'Update in lawsuit against US pet food companies tied to sea slavery..\r\n'
'383571783'	'746432926762491905'	'I entered the #PacificaPetsContest for The Secret Life of Pets prizes sponsored by Chrysler\r\n'
'77639821'	'754756630198284289'	'Boston really is a place for innovation.\r\n'
'249901977'	'761555182400507904'	'Continue to check back for updates on road closures and more information in reference to West Campus Housing.\r\n'
'48267835'	'634676172719190016'	'check out the sweet cafe racers on display at my pop-up bar! #lesseffortmorestyle #axeblack.\r\n'
'1526627094'	'760826009293848576'	'happy birthday bby<3 I love you & am gonna miss our after school therapy sessions in the car:/ have fun in college\r\n'
'2189679938'	'740180898910457857'	'@NYPDTransit @transalt glad to see Bike Month msg is sinking in! Hanging out w coffee, parked in bike lane 8th/17th\r\n'
'1407694686'	'763543156310831104'	'19 colorum van at taxi na naka-impound sa LTFRB QC office, inilipat na sa Tarlac | via zhandercayabyab ?ABS-CBN ?\r\n'
'415392862'	'716311155531247617'	'The perfect fit. #pzero #pirelli #theperfectfit #huayrabc #pagani\r\n'
'160533792'	'758086141023129600'	'Still a chance to win an overnight stay @goldennuggetac here @ the More FM tent at the Kimberton Fair! Here til 8:30\r\n'
'242973461'	'752802862464397312'	'Bright-eyed, bushy-tailed & excited to see Hillary and Bernie Sanders in Portsmouth! #StrongerTogether #NHtogether\r\n'
'9648652'	'764173317422977024'	'NYC police find woman, 22 dogs living in hot, filthy SUV.\r\n'
'31277095'	'300678556848095233'	'The best of NYC Fall 2013 street fashion yet @TheLSD in black, white and denim- chic!\r\n'
'79656941'	'759724225003450368'	'Well...\r\n'
'588782112'	'756650380801343488'	'#ballastpoint brewery providing some awesome brews to #SquareEnixExperience attendees at #SDCC2016\r\n'
'34923877'	'764103046699909120'	'In the market for a new car seat? Read these shopping tips from the AAP.\r\n'
'1525500385'	'636958180430495745'	@RNJamal Honestly I should, I'm just siting here\r\n
'49586167'	'764260243740119041'	AFP beautifully confident with a  too? (i'm okay deliberately misunderstanding this juxtaposition of images. LOL)\r\n
'815781468'	'762824980535111680'	'Dealing with a Car Break-In? Heres What to Do \r\n'
'278133444'	'762609723791335424'	So, what you're saying is you'll be picking up a chocolate covered donut for me? Don't forget the sprinkles!!\r\n
'267348157'	'759710639514198017'	'#F1 #GermanGP Best darn double-act in the game: @bbc5live\r\n'
'383571783'	'752701653401407488'	'I entered the #PacificaPetsContest for The Secret Life of Pets prizes sponsored by Chrysler\r\n'
'16887175'	'762295619075633152'	Station stormed by police after reports 'armed man intended to travel on train'\r\n
'471688882'	'753985740250443776'	'The one time I go to @PopeyesChicken\r\n'
'33644899'	'751338495566815232'	'BREAKING: Standoff with the final suspect in the Dallas ambush is now over.\r\n'
'315331161'	'761684765565214720'	'Got to talk to fellow HKS alum and A brother @hillharper at #NABJNAHJ16 about the 2016 election\r\n'
'750038427324674048'	'755103045294456836'	'Pumping my own gas!! ??????#NotInOregonAnymore #LuckyToLiveNH #GasSelfie\r\n'
'545481069'	'764109058936827904'	'#Brampton #cyclist rushed to Toronto trauma centre after colliding with a #Mercedes :\r\n'
'16973333'	'762299790008782849'	Someone tied a 'Get well soon' balloon to this dead raccoon\r\n
'486927315'	'759420519104012288'	Tonight on @protocolradio: @nickyromero's @tomorrowland Special! Make sure to tune in!\r\n
'3158432359'	'642448932883165184'	'I love you\r\n'
'24231540'	'695613900998504449'	'Bells Ferry Road just north of Hwy 92. Estimated time to re-open 6-8 hours\r\n'
'276433534'	'746026206273867776'	'@repjohnlewis on the House floor, and in downtown ATL\r\n'
'497854068'	'627838734256459777'	'Thx @KyleBeckerman 4 nice pic w @DCUyouth player #JacobGreene his way 2 #CONCACAF youth tournament @ussoccer #crofton\r\n'
'173959328'	'765329058003582976'	'Haciendole el aguante a Ger!!!! @GPSportsArg\r\n'
'36338570'	'764886109499326464'	"'7.07pm: @stephen_bear to @SamFoxCom: ""Can I give you a French manicure? A Frenchie?"" Ooh la la. ?????? #CBBLive\r\n'"
'203042551'	'732056638446665728'	'The Luxury Gold experience by Insight?Vacations\r\n'
'16505181'	'760232590146084865'	'New Video: King Trell ?Vice City Remix |@KINGTRELL_\r\n'
'17074440'	'646638933896523776'	So excited to be reporting from the WH South Lawn for the Pope's first visit to US, ahead on @GMA\r\n
'16211434'	'762351375422554112'	'This mobile cocktail bar is freaking awesome:\r\n'
'846238878'	'763553737520676865'	'Keep your ?? peeled tomorrow for a full behind the scenes look at what Owl Training Camp is like! #GoKSUOwls\r\n'
'1545994664'	'759096189581131776'	'Making memories, one road trip at a time. #BMWXplore\r\n'
'29358147'	'764287177870053377'	'Can we talk about how adorable my interns are? ????\r\n'
'18138975'	'750445657052286980'	'For 2nd straight quarter, Tesla fails to deliver enough cars to meet its goals.\r\n'
'25333609'	'754698981716987905'	'Another apparent attack on police officers, this time in #BatonRouge. #breaking #Cnn\r\n'
'29380118'	'616208881333596160'	'Such a smart way to utilize space. #outdooradvertising #GilmoreTower\r\n'
'26829777'	'761266377135185920'	The Games haven't started and already the athletes are queueing for free junk food\r\n
'2412138660'	'764463899563261953'	'Jc hahaha! Basti pansinin mo naman daw si Ali xD. (c)tto #PushAwardsJaDines\r\n'
'289732005'	'749098398435799041'	'Richard Di Natale runs into his sister Deb and his nieces at a voting station in Brunswick North @heldavidson\r\n'
'3065900255'	'760837829207273472'	'Kathy supported Bernie in the primary & is now knocking doors for Hillary! Read her\r\n'
'976258332'	'724629013214445571'	'#WeAreNotThis because America is better than anti-LGBT hate! @ACLU @ACLU_NC\r\n'
'78183672'	'763603192416497664'	'Having fun @SEC / John was a super host / Mr Versatility !!\r\n'
'2374369164'	'734843232643907589'	'The Hickory Dr. Improvements project is winding down.  We would like to thank everyone for their cooperation!\r\n'
'429403604'	'758027783943491584'	'Early release: Heritage High School shooter TJ Solomon released from prison:\r\n'
'58360124'	'756391909090795520'	'#Vancouver Police are on scene with a male stabbed in the back at Main St & E Hastings\r\n'
'42911050'	'295516340901539840'	'Champs Elysees !!!\r\n'
'52902423'	'761968851986833408'	'1-5 will be closed at Genesee Avenue for the next six nights, 9pm-9am. Detour required. Plan accordingly.\r\n'
'42797629'	'763500427493113856'	Developer Who Partnered With Trump's Son-in-Law Hangs Anti-Trump Poster\r\n
'218668226'	'763146343036620801'	Pilot: I'm scared of Heights. Trainer: This is relatively safe Pilot: I'm still feeling it!. @gatewaytech\r\n
'2573997659'	'606032788672905216'	'Morning coffee run. Getting my A$AP kicks.\r\n'
'417003912'	'765487580733472768'	'Live@6am police still on the scene investigating a murder suicide in DeKalb Co #wsbtv\r\n'
'514019413'	'756085049045295104'	'Two young Muslim men remind us what Australia really stands for!\r\n'
'30970039'	'736635710699114496'	America looks pretty great - especially when you're volunteering at the beer truck at a charity bluegrass concert.\r\n
'49072254'	'578638325927579648'	The @NikeLab x Sacai is out and ooh it's good. The lucky ones who got in on 'em a day early:\r\n
'2462262230'	'756550446198718464'	'Such a #privilege to discuss #crucial issues at @UN w/ friend & coauthor @klugesan & others.. #WeAreNexus @ForDummies\r\n'
'1686009715'	'765337474281406465'	'TRY2 for $25 for PetSmart! More in comments, FB & Insta! Follow, Fav & RT to win! Check out:\r\n'
'267348157'	'760475576532598785'	'Thinking of you Hannah. You are here with us in Rio x @GTeventing @TeamGB #TwoHearts ????\r\n'
'144432548'	'748177647373586432'	'Why this Latina campaigns for #DonaldTrump on the border by @DaniellaMicaela\r\n'
'262547770'	'724323010744709120'	'The boys are cleaning out our garage today, preparing for summer..so...anyone needing any free garbage? #comegetit\r\n'
'2817317522'	'594296834320965632'	'wen teh bucceneers pik up jamees 4 preseasun camp\r\n'
'99390940'	'749450604871770113'	'This may be the chillest of all situations\r\n'
'32544307'	'759162204038062080'	'150 shots fired in gunbattle with Pulse killer, records show\r\n'
'271725689'	'757770575343263744'	'Congrats to Hillary on selecting Tim Kaine as Joe Biden!.\r\n'
'25798248'	'718839317142106113'	Y'all come see us down here at @CahabaBrewing CahabaQue! And bring your appetite! #teamMeatheads #peopleschoice\r\n
'14292209'	'760778464857198592'	'Congratulations to these girl bosses for the successful opening of @sunniescafe!!! Check\r\n'
'280743018'	'763485684736765953'	I just want on the record as fully supporting Malia Obama's brave act of civil disobedience against our nations unjust marijuana laws.\r\n
'250884927'	'755793832671928320'	'A true hero from the NYPD came to the rescue #OnStatenIsland. Thank you, Officer Joseph Villarreal.\r\n'
'214413743'	'759396363763326976'	'Happy with P3 in qualifying. Let the sparks fly tomorrow \r\n'
'707512656'	'763030143631822852'	Missed #NPRWormWeek's Earthworm Race? Watch it here:\r\n
'382957494'	'762770131265155072'	Baby's out\r\n
'271026442'	'760668149624676353'	'.@ElizabethBanks dropped in to register some voters with us today in Aspen. #ColoradoTogether\r\n'
'836485514'	'757319143288893440'	'#nhpolitics\r\n'
'376231288'	'763068215455014913'	'5 Times #StandByMe inspired pop culture\r\n'
'24980246'	'762671448309628928'	new fiction: 'Community Service' by David H Steinberg. Art by Thomas Warming. @NikkiFinke\r\n
'544923708'	'762504634296446976'	'A report estimated there were 8,700 dogs on the loose in southern parts of Dallas\r\n'
'22400162'	'756504440354537472'	'TONIGHT! See you in  #Madison for my solo acoustic performance at @MadOrpheum Tix:\r\n'
'2203457024'	'632376654367559680'	'A brave vet graduates from the U.S.VETS homeless program in Long Beach. Congratulations!\r\n'
'160533792'	'757298191654068224'	'More FM & Gelati Girl are here @RitasItalianIce of Rockledge giving out goodies for their 21st anniversary! Stop by!\r\n'
'184858590'	'533715748410384384'	@clintfair @jlesterFCA @GHCFCA 'Repin the @FCAEastWest sweatshirt from 2013 today in Nashville.\r\n
'268357539'	'763087091370758144'	What's your fave hair style from my new vid? I'm loving the glitter root space buns ? Body\r\n
'17458864'	'730211092375339009'	'To celebrate the anniversary of the S1 Finale we visited The Camelot today! #MoreVeronicaMars\r\n'
'1038025818'	'753924820535013378'	Out and about in London's gorgeous Regent's Park on my @santandercycles ! ???????????? #SantanderCycles#Ad #london #fitspo\r\n
'359099321'	'764237948292247553'	'Hey @SashaBanksWWE. We are coming. See you soon.\r\n'
'16367825'	'724377564819668992'	'I like to call this, How I Won #420Fest @sweetwaterbrew @Ludacris\r\n'
'3169039498'	'594465412823265282'	'Live from #TourDeYorkshire #skinthetics #skin\r\n'
'138166008'	'743209926416343041'	A little cellulite never hurt nobody.. Stop judging yourself, embrace the things that society has called 'ugly'.\r\n
'115608852'	'744528968372498432'	'Happy #FathersDay to all of our #JetSmarter dads!\r\n'
'3245420004'	'686788082444668928'	'@RyanCFowler is that you in the background?\r\n'
'23705812'	'689260330443079681'	'Our Motor Vehicle search facility just saved a member thousands of dollars on a new vehicle.\r\n'
'449429374'	'689482780992909312'	'Happy 70th Birthday @DollyParton! What an honor it was to make this photograph #DollyParton\r\n'
'2097571'	'764443940779020288'	ISIS losing control of key city, may be seizing 'human shields,' US says\r\n
'497042667'	'734539504250413057'	'@KCSACollege great to meet Alex and the team from @RugbyAM, at Magic Weekend keep up the great work guys\r\n'
'1576677768'	'759867112961609731'	The reason I'll be eating ramen noodles & bologna for a month straight  Why must you slay my bank @kyliecosmetics?\r\n
'137072642'	'751386910551973888'	I dont know where I am, but I know it wasn't worth it.\r\n
'227890749'	'763111327250411520'	There's something about ordering free macdonalds that is so novel.... Just thinking up my order now!\r\n
'18565988'	'764309732710502400'	No they sure don't....but I want me to have that sparkly car! ??????????????????\r\n
'466686068'	'763118946027397120'	'At The International #SteamVR #VR #Steam\r\n'
'2428976216'	'749141281960525824'	'Entry now open for the 2017 Lindley 10k which will take place on Sunday 25th June 2017. #Lindley #Lindley10k\r\n'
'3248321846'	'749396860108959744'	'Got a new voter registered because I locked my keys in my car #thanksAAA #VirWINia @HillaryforVA\r\n'
'9783422'	'764164708828151808'	'This is what happens when you find a 300-pound alligator in your garage.\r\n'
'3284683605'	'763444915506257920'	'@BrandonCPorter shot by me \r\n'
'11716862'	'733230768822980608'	'Two News Limited events in one afternoon for NSW Premier @mikebairdMP.\r\n'
'2203457024'	'546363205786677248'	'Vets lined up at U.S.VETS booth at LA Stand Down for a free duffel bag.\r\n'
'1261181221'	'761045274085040128'	'Really nice.\r\n'
'30980778'	'748005486348345344'	'I got my own chair! #bucketlist #nowImdone\r\n'
'543576297'	'610874837381316610'	'Just got home from an incredible weekend in #NYC with my people-Honored to have been your #GrandMarshall @PRparadeNYC\r\n'
'1121163822'	'751734820670042112'	'Virtual wall projects laser images when traffic light is red.\r\n'
'95749490'	'763404536459370497'	'Happy Hump Day!!!\r\n'
'608485403'	'431487351848591360'	'The moment everyone in Sweden started driving on the opposite side of the road\r\n'
'708360108'	'739911207306563585'	'When @BlaireHanks tells me to listen to a song because its how he feels about me & I fall in love  @patcoopermusic\r\n'
'468539279'	'751437600452476928'	'Nice to see our friends from Wilco out for our customer appreciation Stampede Breakfast! #garden4thecure\r\n'
'548850667'	'763219691473145856'	'Not Happening.\r\n'
'423723318'	'760858210995535873'	Just saw an early episode of #LoveAtFirstKiss..it's uncomfortable & cringeworthy. It's GOOD. Makes me feel more normal ?? Airs @ 10pm 2night!\r\n
'729864205109755904'	'752835404785709058'	'The sign says it all! #nhtogether #viewsfromthe603\r\n'
'307288556'	'739863019736465410'	Le jean, d'uniforme basique  pice ultra personnalisable via @Madamefigaro\r\n
'18861574'	'762960393060880384'	'Why hello, Delhi :)\r\n'
'4262073493'	'692791734909046784'	'Good Day for Private Event in Hollywood Hills ?#ValetParking #LosAngeles #EHValetServices #LA\r\n'
'15295274'	'712000309107810305'	"'Filed under ""Why I Will Be A Week Behind On All Other Podcasts"" - @HardcoreHistory strikes again!\r\n'"
'2533374678'	'755088334020411393'	Ribbon cutting yesterday for Hayward's end of the Blazing Star Bike Trail. Beautiful spot! #mnleg\r\n
'108247668'	'759731659231027205'	'#Kimi7 3.0 seconds behind #Seb5 #GermanGP #redseason\r\n'
'2428976216'	'758260716344344576'	'Entry now open for the 2017 Lindley 10k which will take place on Sunday 25th June 2017. #Lindley #Lindley10k\r\n'
'701090605246578689'	'711263572517654528'	'Going tomorrow\r\n'
'270403166'	'762180266710429696'	'44 Pct Patrol Sgt on the scene of a non likely shooting that took place on E Clarke Pl.\r\n'
'18290521'	'398103976992075776'	'Coach Patsos working the drive thru window\r\n'
'815781468'	'763073876377108482'	'So your car has been broken into. What do you do next? \r\n'
'92484823'	'720926125648535552'	'Navigating the streets with #Waze while listening to #Spotify #DigitalLife\r\n'
'158107807'	'764163375311953920'	'Just wait until you see this guy in action! #jakkschats\r\n'
'71294756'	'757967868361342976'	'Great catching up w/ very talented @wkamaubell at #DemsInPhilly Convention. Congrats on Emmy nomination. @CNN\r\n'
'114659292'	'762137645359112193'	'Tell her I said hi! And to keep pushing\r\n'
'145265146'	'764173225404276736'	$7,000 non-refundable deposit on a vehicle yet to be delivered?  Behind Elio's very unusual offer.\r\n
'329646182'	'760871753740488705'	'We should all remember this is what is happening...\r\n'
'43460864'	'762571234131472384'	850 rtes,30k stops,12 mill miles...Who's hopping on a Dekalb school bus today? See you at 5:05 @wsbtv #BackToSchool\r\n
'472265280'	'764119828374446080'	'Schenectady police officers are going along for the ride! Spending the day with the kids at Great Escape\r\n'
'714994274392285184'	'761292804651831296'	'Happy Birthday, @POTUS! \r\n'
'871963218'	'761964897701797888'	'Back to the whaaaaa???\r\n'
'210569909'	'764639919960621058'	Why some brands can't tweet about this summer's big sporting event in Brazil:\r\n
'2352597806'	'754054263547068416'	"'""This is by far the easiest car buying process ever. THANK YOU!"" - from satisfied Roadster customers & dog, Fozzie!\r\n'"
'711760399'	'757961529560031233'	'The Lynx pulse bus @lynxbusorlando\r\n'
'94409053'	'750780624261279744'	'Are you ready to #StopOilTrains? Join a massive Week of Action across the US and Canada:\r\n'
'37744859'	'762825607692558336'	'My latest project! Grateful to @vermontedition and @vprnet for the support and time off to spend time with my kiddos\r\n'
'4656677481'	'765254064875638784'	'Your phone call could be worth $2k. Tell @StopCrimeATL who these criminals are. 404 577-8477\r\n'
'22708935'	'713406481979346944'	'Today is #EllenDay and we want to #GetHEROsOnEllen! Swing by Tate to show @TheEllenShow how hype we are!!!\r\n'
'24197100'	'758358899875540992'	'Coach Payton and Drew Brees at White Sulphur Springs community project. #Saints @FOX8NOLA\r\n'
'175278440'	'685519259368337408'	'Some shit just went down LMAO, my dudes had to call in backup\r\n'
'1621247604'	'735126797080252416'	'Como se divierte @marioarmentaart con mis fotos JAJAJA\r\n'
'9109642'	'729404329816432641'	'#RememberYuri on the West Side. #FAFATL\r\n'
'556260847'	'759338739583811584'	'Focussed on long run in final practice. Went well. Now qualifying! #keeppushing #GermanGP\r\n'
'2207520854'	'764163894080176128'	'Found a LB cosplayer!  #squadgoals @telltalegames #talesfromtheborderlands @Borderlands\r\n'
'153966123'	'760338037695840256'	I always prefer @SouthwestAir! @AmericanAir is the absolute worst. Haven't been on @WheelsUp, but @JetSuite is nice.\r\n
'284093757'	'740039635720536064'	SO TRAFFIC SOUTHBOUND AND THESE @MMDA officials AREN'T EVEN DOING ANYTHING +bawal yan!!!! 3 MMDAs in the same spot?!\r\n
'14063426'	'765299579080306690'	'Congrats to the first #TopgolfTour winners Steven Kupcho & Brandon Baer. Good luck to this week competitors!\r\n'
'64574086'	'762302082397442048'	'A perfect Sunday morning in NYC. ??\r\n'
'2992751'	'761961970811764737'	Oregon's emissions plan could give electric transit a boost\r\n
'898511533'	'751366899758469120'	'@winterfoldhs themed flowers for Mrs Aldred...we hope they have a super summer in Rio . Go Team GB & the rowers.\r\n'
'12101862'	'760637564122439680'	'Catch a mood-lit ride. Fares from $69 one way (+restr). Book by Aug 8. Fly Sep 7 - Dec 14.\r\n'
'3248321846'	'752844097191342088'	'No matter the shirt we love the support! #nhpolitics #StrongerTogether\r\n'
'46875439'	'761004502841384961'	'Here we go!\r\n'
'348910864'	'730390037733462017'	'The Beams and I back in the ATL for a few days ??\r\n'
'15922214'	'765537376068333568'	'Clinton Campaign Uses DACA Anniversary to Rally DREAMers\r\n'
'15162193'	'761625993542901760'	'Last #weekend to save! (@TeslaMotors not included )  #nsale\r\n'
'134887156'	'757267925862457344'	'Can @dennyhamlin and the #FedEx11 team kiss the bricks today at @IMS? Tune into @NBCSN at 3ET to find out! #NASCAR\r\n'
'556260847'	'756818680382681093'	It's poring rain! Tricky conditions but also lots of fun! Going to be an interesting qualifying. #HungarianGP\r\n
'39419180'	'764615208912424960'	'#Nats 4, Dark Side 1 through 3 full on #NatsStarWarsDay\r\n'
'168216285'	'753184509143687168'	Visiting the with @OfficerNorman at 6:45 on @THV11! Find out why he's made nat'l headlines AGAIN for his work.\r\n
'43460864'	'763402611773083648'	'Baby found safe, but search continues for carjackers who took off with this 5 month old overnight. Noon on @wsbtv\r\n'
'47981958'	'744226147571892224'	'Sinkhole @Greenwood Cl & Evergreen Dr given bandaid & waiting on cast (metal plate). Full diagnosis/remedy to follow\r\n'
'110509537'	'749177688460492800'	'Ben Wheatley did this for us\r\n'
'383571783'	'751887720910360576'	'I entered the #PacificaPetsContest for The Secret Life of Pets prizes sponsored by Chrysler\r\n'
'101248459'	'764764895367815169'	'A man is charged after two people were killed in a hit-and-run in Eastbourne on Friday.\r\n'
'16832632'	'752286103726686208'	'This is an extraordinary photograph in an extraordinarily difficult time in America.\r\n'
'2180528689'	'760445810341400576'	'Court Rules Church Can Be Held Liable for Dangerous Placement of Parking?Lot\r\n'
'7313362'	'762162904363700225'	'At least 9 men wounded in shootings since Saturday morning on West, South sides\r\n'
'2998384152'	'744481743529447424'	'Single vehicle accident I-75 SB past Forest Pkwy- 2 left lanes are blocked. #ATLtraffic\r\n'
'278219544'	'748518731517571072'	'Yes! Nearly every time we ask ppl wht they need, they say 2 thngs: system should be simpler + should lead to housing\r\n'
'365171276'	'762261114377867268'	'Getting into #Harvard is easy... Just drive a big, yellow #CNRGuys truck!. #nomnomnom #foodtrucks\r\n'
'10433782'	'762174639053438976'	Anthony Anderson explains how 'black-ish' episodes are based on personal experiences\r\n
'291836180'	'591620088081580033'	'Starting to making Insightful green as possible. Starting with our Founders new @Nissan Leaf! Think green every day!\r\n'
'38204572'	'758266932638453760'	'Share it!\r\n'
'171754841'	'749251910427877376'	'This city ???? #NYC #empirestate\r\n'
'454722118'	'737725127991787521'	Thank you @CanadianPacific for this trip back in time today! Can't wait until the #CPWO\r\n
'239568324'	'688154939885895680'	'@scott_rickard @HuffPostMedia he should reconsider location to live.\r\n'
'288304848'	'758359328990466048'	'Okay, 1st #peepingtom on our Pope! Off and running. #directorsPOV @kerrywashington #scandal\r\n'
'3065900255'	'760868161449111552'	Hillary's jobs plan invests in infrastructure, including 50% of NH roads in poor\r\n
'15916383'	'761202373402431488'	'I love a good American story!\r\n'
'21255118'	'724974742126501888'	I'm in Chicago and I've got a cool new car to announce!\r\n
